STUDENT,CLASS,PERIOD
 234,213A,  5
 236,201E,  6
 236,202E,  5
 236,203E,  4
 236,204E,  2
 236,503A,  3
 236,504B,  1
 236,505E,  7
 238,201E,  6
 238,202D,  7
 238,203C,  5
 238,204B,  1
 238,211A,  2
 238,212A,  3
 238,213B,  4
 240,201D,  7
 240,202C,  6
 240,203D,  1
 240,204E,  2
 240,503G,  4
 240,504E,  5
 240,505G,  3
 242,201D,  7
 242,202C,  6
 242,203A,  3
 242,204B,  1
 242,211A,  2
 242,212B,  4
 242,213A,  5
 244,201D,  7
 244,202F,  1
 244,203G,  6
 244,204E,  2
 244,503B,  5
 244,504D,  4
 244,505G,  3
 246,201A,  5
 246,202D,  7
 246,203D,  1
 246,204F,  6
 246,211A,  2
 246,212A,  3
 246,213B,  4
 248,201C,  2
 248,202D,  7
 248,203D,  1
 248,204A,  4
 248,503E,  6
 248,504E,  5
 248,505G,  3
 250,201E,  6
 250,202F,  1
 250,203F,  7
 250,204D,  3
 250,211A,  2
 250,212B,  4
 250,213A,  5
 252,301E,  7
 252,302A,  3
 252,303D,  4
 252,304E,  1
 252,313B,  2
 252,501A,  6
 252,502B,  5
 254,301D,  2
 254,302C,  6
 254,303D,  4
 254,304E,  1
 254,505E,  7
 254,506E,  5
 254,507F,  3
 256,301G,  4
 256,302E,  2
 256,303G,  5
 256,304E,  1
 256,313A,  7
 256,501A,  6
 256,502C,  3
 258,301E,  7
 258,302G,  4
 258,303B,  6
 258,304E,  1
 258,505B,  2
 258,506C,  3
 258,507A,  5
 260,301C,  5
 260,302G,  4
 260,303F,  7
 260,304C,  6
 260,313B,  2
 260,501G,  3
 260,502A,  1
 262,301C,  5
 262,302B,  7
 262,303E,  1
 262,304C,  6
 262,505C,  4
 262,506C,  3
 262,507D,  2
 264,301C,  5
 264,302D,  1
 264,303F,  7
 264,304B,  3
 264,313B,  2
 264,501B,  4
 264,502D,  6
 266,301G,  4
 266,302B,  7
 266,303B,  6
 266,304G,  2
